userId,churn,gender_Male,gender_Female,free_flag,paid_flag,free_paid_flag,avg_songs_persession,num_session,avg_days_login_permonth,avg_thumbsdown_permonth,avg_thumbsup_permonth,avg_playlist_permonth,avg_addfriend_permonth,avg_rollad_permonth,avg_help_permonth,avg_error_permonth,regDay,avg_session_hour
100003,1,0,1,1,0,0,25.5,2,2.0,"",3.0,2.0,"",9.0,1.0,"",22.748113425925926,1.5391872694495137E12
71,0,1,0,0,0,1,66.0,4,2.5,4.0,7.0,2.5,4.5,6.0,1.0,1.0,52.761180555555555,1.5413662843470378E12
100017,1,1,0,1,0,0,52.0,1,1.0,1.0,2.0,1.0,"",14.0,"","",78.88440972222222,1.540062419208086E12
200007,0,0,1,0,1,0,32.5,3,1.5,"",2.0,"",1.0,"",2.0,1.0,53.39774305555556,1.5413090775266394E12
200012,0,1,0,1,0,0,33.0,2,2.0,1.0,3.0,"",3.0,8.0,"","",65.71107638888888,1.5434997872521587E12
3,1,1,0,0,1,0,53.5,4,5.0,3.0,14.0,4.0,1.0,1.0,1.0,"",80.89527777777778,1.5401011416981323E12
102,0,1,0,1,0,0,19.75,8,4.5,1.0,3.0,1.0,"",8.5,"",1.0,64.68184027777778,1.541235887505201E12
133,0,1,0,1,0,0,32.0,1,1.0,"",2.0,3.0,1.0,1.0,"","",39.88013888888889,1.5395716173439963E12
5,0,1,0,1,0,0,32.2,6,3.5,"",5.5,4.0,1.5,5.5,1.0,"",48.39195601851852,1.5398945275865046E12
125,1,1,0,1,0,0,8.0,1,1.0,"","","","",1.0,"","",71.31688657407408,1.5393184904119045E12
"",0,0,0,0,0,1,"",1629,"","","","","","",136.0,3.0,"",1.5411427112027358E12
