userId,churn,gender_Male,gender_Female,free_flag,paid_flag,free_paid_flag,avg_songs_persession,num_session,avg_days_login_permonth,avg_thumbsdown_permonth,avg_thumbsup_permonth,avg_playlist_permonth,avg_addfriend_permonth,avg_rollad_permonth,avg_help_permonth,avg_error_permonth,regDay,avg_session_hour
200008,0,0,1,0,0,1,111.26666666666667,15,6.333333333333333,26.0,34.0,22.5,13.5,2.0,2.0,1.5,115.18381944444444,1.5416606670350115E12
200023,0,0,1,0,0,1,41.041666666666664,76,24.5,36.5,81.5,36.5,33.0,58.0,11.5,1.0,67.18055555555556,1.5409509288817754E12
300021,0,0,1,0,0,1,65.79310344827586,58,22.5,18.0,168.0,53.5,44.5,5.0,8.0,2.5,69.41837962962963,1.5409245950217124E12
39,0,0,1,0,0,1,77.68932038834951,107,29.5,34.5,194.0,120.0,61.0,64.0,23.0,3.5,168.92145833333333,1.541022262849793E12
300002,0,0,1,0,0,1,89.44444444444444,18,10.5,5.5,70.0,28.5,14.0,4.0,8.0,1.0,124.38989583333333,1.5405713678473818E12
92,0,0,1,0,0,1,70.77380952380952,86,27.0,36.0,146.0,90.5,55.0,42.5,20.0,1.5,83.52885416666666,1.5412744774309663E12
200006,0,0,1,1,0,0,25.80952380952381,21,11.5,9.5,10.5,8.5,4.0,34.0,1.0,2.0,73.64201388888888,1.5409986005178403E12
100015,1,0,1,0,0,1,66.66666666666667,12,7.5,4.0,17.5,11.0,7.0,34.5,3.0,1.0,67.87921296296297,1.5402608909042766E12
58,1,1,0,0,0,1,141.16666666666666,12,14.0,20.0,94.0,50.0,19.0,11.0,13.0,"",26.22980324074074,1.5393870788187227E12
300008,0,0,1,0,1,0,77.38888888888889,18,9.5,8.0,55.5,21.5,11.5,1.0,4.5,1.5,90.50671296296296,1.5406463625478901E12
200003,0,0,1,0,0,1,57.76923076923077,14,6.5,12.5,18.5,8.0,7.0,27.0,1.0,"",152.84206018518518,1.5421110614250188E12
300016,0,1,0,0,0,1,48.583333333333336,13,6.5,2.0,28.0,13.0,5.5,2.0,"",1.0,100.83010416666667,1.5409642034188374E12
120,0,0,1,0,1,0,112.21428571428571,14,9.5,6.5,40.5,22.0,11.0,1.0,2.5,1.0,128.10019675925926,1.5408929797675017E12
152,0,1,0,0,0,1,74.15789473684211,20,7.0,12.0,81.0,43.0,24.0,14.0,9.0,2.0,31.03962962962963,1.5422002445157915E12
81,0,1,0,0,0,1,103.89473684210526,19,10.5,7.0,47.0,25.5,11.5,3.5,6.0,1.0,98.71303240740741,1.5412743815595325E12
53,1,1,0,0,0,1,83.14285714285714,22,12.5,8.0,34.5,23.0,12.5,12.5,5.5,1.0,53.01773148148148,1.5404523016927383E12
96,0,0,1,0,0,1,94.84210526315789,19,11.0,12.0,46.0,26.0,20.0,17.0,4.5,2.0,73.93668981481481,1.541214442417614E12
155,0,0,1,0,0,1,136.66666666666666,6,8.0,3.0,58.0,24.0,11.0,8.0,9.0,3.0,23.556018518518517,1.5421944702883376E12
127,0,0,1,0,1,0,104.6470588235294,17,9.0,7.5,46.5,26.0,26.0,1.0,6.0,2.0,75.88082175925926,1.5413104103359087E12
70,1,1,0,0,0,1,82.77777777777777,18,7.5,6.0,45.0,20.5,13.0,4.0,4.5,2.0,145.73800925925926,1.5403232284157573E12
83,0,1,0,0,0,1,45.74074074074074,28,11.5,5.0,34.5,14.0,9.0,9.5,5.0,1.5,124.14094907407407,1.5415132260547478E12
12,1,0,1,0,0,1,96.33333333333333,9,10.0,9.0,42.0,19.0,13.0,21.0,6.0,2.0,73.00452546296296,1.5394455320504148E12
97,0,0,1,0,0,1,65.83333333333333,30,13.5,6.0,54.0,30.5,16.0,12.0,8.5,1.0,87.39342592592592,1.541181451031728E12
300022,0,1,0,0,1,0,33.09090909090909,11,4.5,2.5,12.5,4.5,5.5,"",1.5,"",102.7619212962963,1.5418255564445225E12
129,1,1,0,0,0,1,55.166666666666664,7,7.0,7.0,7.0,11.0,11.0,2.0,2.0,1.0,16.74056712962963,1.5390479516326133E12
300014,0,1,0,0,0,1,46.666666666666664,7,3.0,4.0,13.5,5.0,3.0,"",4.0,1.0,100.3783912037037,1.540716438454434E12
37,0,1,0,0,0,1,100.85714285714286,15,8.5,5.5,37.5,18.5,16.5,2.0,2.5,3.0,94.56951388888889,1.541335483524349E12
111,0,0,1,0,0,1,99.71428571428571,7,5.5,6.0,17.0,10.5,11.5,3.0,3.0,2.0,82.22630787037038,1.5407093501756277E12
65,0,1,0,0,0,1,96.04545454545455,23,12.0,8.5,55.5,34.0,26.5,4.0,6.5,"",71.10780092592593,1.5406662667825623E12
300019,0,1,0,0,0,1,88.66666666666667,9,5.0,4.0,41.5,12.0,9.5,"",3.5,"",84.62292824074073,1.540634856385212E12
300012,0,1,0,0,0,1,91.71428571428571,7,3.5,3.5,26.0,7.0,8.0,2.0,3.5,"",150.0044675925926,1.540847454278689E12
119,0,0,1,1,0,0,28.833333333333332,6,3.5,1.0,3.5,5.0,4.0,9.0,3.0,1.0,188.85927083333334,1.5408299469935735E12
