userId,churn,gender_Male,gender_Female,free_flag,paid_flag,free_paid_flag,avg_songs_persession,num_session,avg_days_login_permonth,avg_thumbsdown_permonth,avg_thumbsup_permonth,avg_playlist_permonth,avg_addfriend_permonth,avg_rollad_permonth,avg_help_permonth,avg_error_permonth,regDay,avg_session_hour
55,0,1,0,0,0,1,34.63636363636363,11,5.5,2.5,8.5,6.5,8.0,14.5,4.0,1.0,71.66560185185185,1.5408616743490916E12
59,0,1,0,0,0,1,120.66666666666667,7,4.0,4.5,15.0,7.0,8.0,5.5,1.5,2.0,64.60553240740741,1.539848453986107E12
10,0,1,0,0,1,0,112.16666666666667,6,4.0,4.0,18.5,4.5,6.0,1.0,1.0,"",51.76265046296297,1.5409983346191172E12
143,1,0,1,1,0,0,16.833333333333332,6,5.0,"",5.0,2.0,6.0,15.0,1.0,"",61.73311342592593,1.5389146433580557E12
76,0,1,0,1,0,0,35.333333333333336,6,3.5,1.0,6.5,4.0,1.5,7.5,2.0,1.0,56.86383101851852,1.5404737955945027E12
122,1,0,1,0,0,1,13.666666666666666,4,4.0,1.0,3.0,1.0,1.0,2.0,"","",52.81670138888889,1.5394450431268848E12
84,0,0,1,1,0,0,24.333333333333332,3,3.0,"",4.0,2.0,"",10.0,1.0,"",52.468148148148146,1.5420131406644893E12
2,0,0,1,0,1,0,107.85714285714286,7,4.5,3.0,14.5,6.5,10.0,"",2.0,"",69.90317129629629,1.5412040284664963E12
200021,1,0,1,0,0,1,76.6875,17,9.0,17.5,27.5,15.0,19.0,11.0,2.0,1.0,70.66457175925926,1.540046638684588E12
8,0,0,1,1,0,0,35.857142857142854,7,3.5,1.5,8.0,3.0,5.0,9.0,"",1.0,114.99788194444444,1.541370923558025E12
200014,0,1,0,0,0,1,74.7,10,6.0,14.0,21.5,12.5,10.0,25.0,2.5,"",128.14015046296296,1.5404361008060945E12
34,0,1,0,1,0,0,17.666666666666668,3,2.0,"",1.0,2.0,"",1.5,"","",71.14295138888889,1.5405986200569602E12
100022,1,0,1,1,0,0,34.05,20,10.0,10.0,22.5,7.0,5.5,57.5,3.0,1.0,47.92025462962963,1.540400386413156E12
85,0,1,0,0,0,1,90.4,41,19.5,19.0,96.0,54.0,29.0,16.5,12.0,2.0,109.60453703703703,1.5405964112577366E12
100023,1,1,0,0,0,1,40.7,10,8.0,2.0,10.0,11.0,14.0,6.0,3.0,"",32.362118055555555,1.5391238768683237E12
62,0,1,0,0,1,0,198.875,8,6.0,10.5,38.5,19.5,17.0,1.0,5.0,2.0,134.06662037037037,1.5414677735780034E12
136,0,0,1,0,0,1,106.2,22,12.0,7.5,55.0,33.0,30.0,6.5,9.5,2.0,75.35636574074074,1.5406353773255818E12
66,0,0,1,0,0,1,52.25,21,11.0,4.0,26.0,19.0,12.0,35.0,1.5,"",125.62591435185185,1.5406398397144106E12
100016,0,1,0,0,0,1,66.25,8,5.0,2.5,12.5,3.0,6.5,8.0,3.0,1.0,75.01533564814815,1.5408156159999668E12
105,1,1,0,0,0,1,152.8,5,5.0,6.0,45.0,12.0,13.0,2.0,2.0,2.0,29.607175925925926,1.5388046607649988E12
100001,1,0,1,1,0,0,33.25,4,2.0,2.0,8.0,3.0,2.0,14.0,1.0,1.0,44.80021990740741,1.5384598071524043E12
100025,1,0,1,0,0,1,70.0,7,8.0,7.0,20.0,9.0,3.0,30.0,5.0,1.0,88.81461805555556,1.5393569534059204E12
200022,0,1,0,1,0,0,43.5,8,4.0,10.0,16.0,2.5,3.0,34.0,2.0,1.0,88.70363425925926,1.539590008089064E12
49,0,1,0,0,0,1,87.8,10,5.5,7.0,23.5,14.0,11.0,11.0,4.0,2.0,107.2444675925926,1.5413301538585554E12
100005,1,1,0,1,0,0,38.5,5,4.0,3.0,7.0,3.0,3.0,18.0,2.0,"",85.19559027777778,1.5391403206629065E12
46,0,0,1,0,0,1,91.8,10,6.0,5.5,22.0,15.0,9.0,13.0,1.5,"",63.271076388888886,1.5411729395025874E12
300006,0,1,0,0,0,1,55.8,5,2.5,3.0,11.5,3.5,8.5,7.0,1.5,"",89.53488425925926,1.5412124246889834E12
75,0,0,1,0,1,0,101.5,8,5.0,4.0,24.0,13.5,10.5,1.0,1.0,1.0,68.92494212962963,1.541012624697758E12
56,0,1,0,0,0,1,36.7,21,9.5,7.0,24.5,10.0,10.5,9.5,4.5,1.0,67.95305555555555,1.541185251847589E12
149,0,1,0,1,0,0,62.0,3,4.0,1.0,11.0,5.0,9.0,13.0,1.0,"",46.179710648148145,1.5401992621711816E12
300004,0,0,1,0,0,1,68.0,3,1.5,1.0,8.5,3.0,2.0,5.0,3.0,"",89.37314814814815,1.5408900516461687E12
18,1,1,0,0,1,0,71.5,6,4.0,1.0,20.0,14.0,10.0,"",1.0,"",38.431990740740744,1.5386473166028447E12
